order_id,customer_id,order_date,product,quantity,amount
2001,222,2024-12-08,SMS Basic,5,12246.54
2002,203,2024-09-26,SMS Enterprise,5,10364.12
2003,217,2024-10-10,SMS Basic,4,8986.65
2004,202,2024-11-21,SMS Pro,3,3021.9
2005,201,2024-07-01,SMS Basic,3,2946.76
2006,222,2024-11-17,SMS Basic,5,9851.87
2007,211,2024-03-09,SMS Basic,3,4776.08
2008,227,2024-11-25,SMS Basic,4,9846.55
2009,216,2024-11-19,SMS Basic,2,1252.4
2010,225,2024-08-22,SMS Basic,3,2709.55
2011,226,2024-04-12,SMS Basic,3,7100.23
2012,217,2024-07-22,SMS Enterprise,4,4026.51
2013,225,2024-11-27,SMS Basic,3,3641.85
2014,225,2024-01-25,SMS Enterprise,3,3139.3
2015,226,2024-07-07,SMS Pro,4,7946.46
2016,229,2024-07-16,SMS Pro,2,2984.81
2017,216,2024-07-07,SMS Enterprise,3,6306.89
2018,224,2024-08-05,SMS Basic,4,6819.63
2019,227,2024-04-02,SMS Enterprise,3,3427.27
2020,203,2024-06-16,SMS Enterprise,3,3338.98
2021,220,2025-01-02,SMS Pro,2,3759.06
2022,212,2024-08-16,SMS Basic,3,5189.11
2023,214,2024-05-20,SMS Enterprise,1,650.08
2024,221,2024-07-26,SMS Pro,5,10510.96
2025,222,2024-03-22,SMS Basic,2,4394.68
2026,222,2025-02-04,SMS Pro,1,752.46
2027,208,2025-02-02,SMS Enterprise,3,3672.9
2028,219,2024-01-17,SMS Enterprise,2,3716.25
2029,212,2024-07-09,SMS Pro,1,1647.84
2030,217,2024-07-06,SMS Pro,3,5397.36
2031,208,2024-02-28,SMS Basic,2,2996.18
2032,213,2024-10-14,SMS Basic,3,6149.79
2033,223,2024-08-16,SMS Basic,5,5355.77
2034,230,2024-09-08,SMS Basic,1,771.46
2035,203,2024-08-19,SMS Basic,4,9978.1
2036,226,2024-12-15,SMS Pro,3,5757.24
2037,218,2024-10-04,SMS Pro,3,6608.17
2038,223,2024-12-29,SMS Enterprise,2,4174.79
2039,217,2024-04-24,SMS Basic,2,4168.26
2040,208,2024-09-09,SMS Basic,3,4824.13
2041,212,2024-08-27,SMS Enterprise,2,3447.79
2042,203,2024-02-03,SMS Pro,4,9996.76
2043,224,2024-09-02,SMS Enterprise,4,8153.32
2044,227,2024-10-21,SMS Basic,2,4889.52
2045,221,2024-02-07,SMS Pro,4,7440.87
2046,212,2024-03-06,SMS Enterprise,5,4319.63
2047,205,2024-08-09,SMS Enterprise,1,2162.78
2048,217,2024-03-19,SMS Pro,2,1647.87
2049,230,2024-12-29,SMS Basic,3,7184.9
2050,217,2024-05-25,SMS Basic,3,2677.81
2051,218,2024-05-20,SMS Basic,3,5186.57
2052,203,2024-09-14,SMS Enterprise,2,3367.23
2053,219,2024-03-19,SMS Basic,5,9706.33
2054,220,2024-06-21,SMS Enterprise,1,2150.47
2055,201,2024-02-11,SMS Basic,5,5146.56
2056,207,2025-01-27,SMS Enterprise,4,6944.87
2057,201,2024-09-11,SMS Enterprise,5,5396.72
2058,210,2024-09-04,SMS Basic,4,4379.47
2059,203,2024-12-18,SMS Basic,2,2758.42
2060,216,2024-08-25,SMS Basic,3,5139.96
2061,211,2025-01-02,SMS Pro,3,7352.24
2062,205,2025-01-24,SMS Pro,5,8116.51
2063,211,2024-05-03,SMS Pro,1,1034.94
2064,208,2024-03-13,SMS Basic,1,1080.42
2065,213,2024-11-11,SMS Pro,2,4850.74
2066,229,2024-03-22,SMS Pro,5,9711.28
2067,207,2025-01-25,SMS Basic,4,9967.76
2068,215,2024-09-12,SMS Pro,4,2185.41
2069,213,2024-09-15,SMS Pro,2,1860.58
2070,212,2024-01-25,SMS Basic,3,4469.37
2071,229,2024-11-30,SMS Enterprise,4,4285.99
2072,201,2024-02-25,SMS Pro,2,4529.82
2073,224,2024-07-06,SMS Pro,3,1771.45
