order_id,customer_id,order_date,product,quantity,amount
12001,1210,2025-01-28,SMS Pro,5,8246.78
12002,1217,2024-02-22,SMS Pro,1,1151.74
12003,1221,2024-02-06,SMS Pro,5,7109.75
12004,1219,2024-07-30,SMS Basic,5,4936.91
12005,1206,2024-09-03,SMS Pro,1,1181.43
12006,1227,2024-12-21,SMS Enterprise,4,8274.51
12007,1214,2024-10-17,SMS Pro,5,9441.33
12008,1206,2024-12-05,SMS Enterprise,1,1978.73
12009,1223,2024-10-20,SMS Pro,1,1684.33
12010,1215,2024-06-15,SMS Enterprise,1,2144.05
12011,1206,2024-06-06,SMS Pro,1,1696.52
12012,1222,2024-11-01,SMS Pro,3,4465.77
12013,1222,2024-02-01,SMS Basic,2,4268.13
12014,1229,2024-10-24,SMS Enterprise,1,2014.16
12015,1222,2024-03-17,SMS Pro,5,5415.03
12016,1220,2024-10-22,SMS Pro,2,1822.65
12017,1229,2024-06-11,SMS Pro,5,10443.47
12018,1222,2024-06-04,SMS Pro,3,7441.74
12019,1219,2024-01-05,SMS Enterprise,5,6541.97
12020,1205,2024-05-30,SMS Basic,3,6906.45
12021,1202,2024-01-01,SMS Enterprise,5,10707.53
12022,1212,2024-02-26,SMS Pro,1,970.48
12023,1223,2024-10-29,SMS Pro,3,5770.64
12024,1213,2024-07-14,SMS Pro,5,4612.16
12025,1206,2024-08-31,SMS Basic,2,3221.69
12026,1227,2024-07-03,SMS Pro,2,2153.88
12027,1228,2024-12-09,SMS Basic,2,1046.41
12028,1221,2024-01-09,SMS Basic,4,7263.41
12029,1205,2024-02-13,SMS Basic,4,8881.22
12030,1229,2024-12-22,SMS Enterprise,4,6985.99
12031,1215,2024-09-17,SMS Pro,5,10700.71
12032,1213,2024-06-30,SMS Basic,2,2699.09
12033,1201,2024-10-22,SMS Pro,2,3848.52
12034,1209,2024-07-29,SMS Enterprise,5,6169.7
12035,1202,2024-10-17,SMS Pro,3,2178.99
12036,1216,2024-12-19,SMS Basic,2,3920.74
12037,1217,2025-01-19,SMS Pro,4,6135.6
12038,1217,2024-11-08,SMS Basic,2,2889.81
12039,1224,2024-12-05,SMS Enterprise,1,1868.15
12040,1218,2024-10-23,SMS Pro,5,3027.74
12041,1211,2024-09-30,SMS Basic,4,5632.28
12042,1229,2024-08-28,SMS Enterprise,3,4026.1
12043,1226,2024-05-30,SMS Pro,2,1141.3
12044,1230,2024-11-01,SMS Enterprise,3,5861.83
12045,1219,2024-05-13,SMS Basic,4,6625.13
12046,1219,2024-01-27,SMS Enterprise,3,6353.37
12047,1220,2024-01-14,SMS Pro,4,2660.08
12048,1217,2024-02-09,SMS Pro,3,2295.23
12049,1209,2024-05-20,SMS Pro,1,1982.86
12050,1220,2024-03-30,SMS Enterprise,2,3636.62
12051,1212,2024-03-30,SMS Pro,2,2939.67
12052,1226,2024-09-27,SMS Basic,3,7404.43
12053,1205,2024-10-31,SMS Basic,4,8022.09
12054,1214,2025-01-29,SMS Pro,2,3642.67
12055,1224,2024-11-22,SMS Basic,2,3311.03
12056,1227,2024-06-25,SMS Basic,3,6032.9
12057,1204,2024-01-27,SMS Basic,4,5189.96
12058,1210,2024-08-31,SMS Enterprise,5,4836.61
12059,1222,2024-12-27,SMS Pro,4,4101.0
12060,1217,2024-08-10,SMS Basic,3,7063.34
12061,1215,2024-07-14,SMS Enterprise,3,7270.58
12062,1222,2024-01-22,SMS Basic,5,8874.24
12063,1228,2024-08-09,SMS Enterprise,3,3509.8
12064,1209,2024-02-20,SMS Pro,5,6411.54
12065,1225,2024-12-11,SMS Enterprise,2,3937.25
12066,1219,2025-01-29,SMS Basic,5,5874.07
12067,1223,2024-04-02,SMS Pro,5,2605.78
12068,1201,2024-02-04,SMS Basic,4,2781.59
12069,1204,2024-12-16,SMS Pro,3,2816.5
12070,1210,2024-05-08,SMS Basic,1,547.4
12071,1203,2024-01-30,SMS Enterprise,2,4801.96
