order_id,customer_id,order_date,product,quantity,amount
1001,101,2024-09-11,SMS Enterprise,4,3405.56
1002,113,2024-09-29,SMS Enterprise,2,3001.05
1003,127,2024-12-08,SMS Pro,1,1294.14
1004,124,2024-01-22,SMS Pro,1,1419.51
1005,103,2024-06-09,SMS Enterprise,4,6587.2
1006,123,2024-11-23,SMS Pro,3,2191.04
1007,101,2024-06-15,SMS Basic,5,7100.97
1008,123,2024-07-04,SMS Basic,4,8755.87
1009,108,2024-08-11,SMS Enterprise,4,6191.7
1010,113,2024-06-07,SMS Enterprise,3,2829.43
1011,125,2024-03-27,SMS Basic,5,8832.25
1012,117,2024-09-18,SMS Basic,3,3606.6
1013,127,2024-11-26,SMS Basic,2,1411.22
1014,109,2024-04-11,SMS Basic,5,4028.7
1015,125,2024-12-01,SMS Basic,2,4805.17
1016,121,2024-09-09,SMS Pro,5,10098.77
1017,115,2024-12-14,SMS Enterprise,5,5732.08
1018,121,2024-06-10,SMS Basic,4,2546.29
1019,115,2024-11-19,SMS Pro,3,5048.52
1020,112,2024-09-16,SMS Basic,3,4270.45
1021,102,2024-01-30,SMS Pro,3,1960.39
1022,128,2024-02-16,SMS Enterprise,5,7570.68
1023,115,2024-10-24,SMS Enterprise,1,1399.47
1024,126,2024-10-19,SMS Enterprise,2,2286.11
1025,116,2024-09-13,SMS Basic,1,1401.05
1026,126,2024-06-24,SMS Enterprise,1,1509.1
1027,106,2024-01-21,SMS Basic,4,9927.89
1028,117,2024-09-24,SMS Enterprise,2,2455.59
1029,130,2024-05-24,SMS Pro,4,8195.72
1030,122,2024-11-02,SMS Basic,3,1895.47
1031,104,2024-10-12,SMS Enterprise,4,4273.18
1032,124,2024-12-02,SMS Enterprise,2,2333.45
1033,119,2024-12-05,SMS Basic,3,3361.39
1034,121,2024-12-23,SMS Enterprise,4,3031.61
1035,123,2024-02-13,SMS Pro,5,6266.79
1036,126,2024-06-17,SMS Basic,5,3434.53
1037,122,2024-08-04,SMS Enterprise,3,1609.38
1038,110,2024-04-02,SMS Basic,3,7186.01
1039,116,2024-04-08,SMS Basic,2,1619.78
1040,110,2024-02-21,SMS Enterprise,5,10851.2
1041,129,2024-09-26,SMS Basic,3,6758.36
1042,120,2024-03-08,SMS Enterprise,4,3234.02
1043,106,2024-12-20,SMS Enterprise,2,3884.73
1044,102,2024-07-29,SMS Pro,2,4878.35
1045,120,2024-05-25,SMS Enterprise,4,3872.02
1046,108,2024-06-07,SMS Pro,2,2471.36
1047,119,2024-08-13,SMS Pro,3,6168.74
1048,117,2024-09-27,SMS Pro,2,4267.56
1049,126,2024-11-05,SMS Basic,3,1813.08
1050,116,2024-07-09,SMS Enterprise,1,1922.8
1051,117,2024-03-04,SMS Pro,1,2026.23
1052,109,2024-08-18,SMS Enterprise,2,4324.19
1053,103,2024-04-23,SMS Pro,3,7082.83
1054,114,2024-01-28,SMS Pro,5,6239.61
1055,113,2024-02-11,SMS Pro,2,1112.75
1056,130,2024-02-20,SMS Enterprise,3,6248.28
1057,105,2024-01-20,SMS Pro,4,7568.58
1058,105,2025-01-23,SMS Enterprise,4,5588.81
1059,101,2024-02-10,SMS Basic,3,2793.93
1060,105,2024-10-07,SMS Enterprise,5,7777.72
1061,104,2025-02-01,SMS Pro,2,2204.6
1062,102,2024-05-02,SMS Pro,5,7071.14
1063,104,2024-09-12,SMS Enterprise,5,2664.35
1064,117,2024-10-21,SMS Basic,2,2165.09
1065,101,2024-11-10,SMS Pro,2,3282.65
