order_id,customer_id,order_date,product,quantity,amount
5001,511,2024-11-01,SMS Pro,5,6425.44
5002,504,2024-06-27,SMS Pro,4,6938.9
5003,527,2024-12-10,SMS Enterprise,3,7012.1
5004,519,2024-02-13,SMS Enterprise,2,2252.74
5005,508,2024-06-05,SMS Basic,2,2493.22
5006,505,2024-09-18,SMS Pro,4,6771.41
5007,519,2024-07-15,SMS Pro,2,2946.68
5008,518,2024-12-21,SMS Enterprise,2,3219.65
5009,516,2024-05-27,SMS Basic,2,2258.32
5010,515,2024-11-13,SMS Basic,3,7211.05
5011,516,2024-03-10,SMS Basic,4,9710.63
5012,517,2024-11-30,SMS Pro,4,7477.57
5013,514,2024-12-29,SMS Pro,4,3338.03
5014,519,2024-01-16,SMS Basic,3,1696.17
5015,508,2024-10-02,SMS Pro,2,4122.96
5016,519,2025-01-15,SMS Pro,5,7608.06
5017,519,2024-02-28,SMS Pro,5,10732.83
5018,512,2024-10-04,SMS Basic,4,6370.83
5019,514,2024-02-22,SMS Enterprise,2,2190.84
5020,502,2024-08-18,SMS Pro,3,6673.2
5021,503,2024-08-12,SMS Basic,2,1839.51
5022,524,2024-10-28,SMS Enterprise,3,6666.29
5023,520,2024-11-19,SMS Pro,2,3464.6
5024,526,2024-04-15,SMS Basic,1,1640.15
5025,518,2024-05-23,SMS Enterprise,5,4183.77
5026,523,2024-05-29,SMS Pro,5,5173.43
5027,528,2024-09-20,SMS Enterprise,1,771.18
5028,525,2024-07-29,SMS Basic,3,6702.29
5029,505,2024-12-25,SMS Basic,2,1584.97
5030,511,2024-05-06,SMS Enterprise,4,5915.67
5031,519,2024-11-19,SMS Pro,4,5001.38
5032,503,2024-11-20,SMS Basic,4,6124.91
5033,509,2024-12-21,SMS Pro,4,9602.03
5034,511,2024-10-24,SMS Basic,1,1961.86
5035,515,2024-11-21,SMS Enterprise,3,6600.64
5036,526,2024-09-30,SMS Pro,2,4872.51
5037,527,2024-04-18,SMS Pro,3,3437.19
5038,510,2024-06-21,SMS Enterprise,5,3805.94
5039,528,2024-09-05,SMS Pro,1,591.89
5040,521,2024-08-23,SMS Basic,1,2358.87
5041,506,2024-08-13,SMS Pro,1,2483.68
5042,514,2024-04-13,SMS Enterprise,2,4528.59
5043,510,2024-03-22,SMS Pro,1,1809.18
5044,509,2024-02-12,SMS Pro,2,1207.15
5045,521,2024-06-05,SMS Enterprise,2,2716.92
5046,503,2024-12-26,SMS Basic,1,926.84
5047,503,2024-03-08,SMS Enterprise,2,3077.78
5048,515,2024-01-05,SMS Basic,3,6402.65
5049,528,2024-08-04,SMS Enterprise,2,2910.8
5050,508,2024-07-15,SMS Basic,1,706.4
5051,512,2024-06-02,SMS Basic,4,8187.68
5052,525,2024-03-09,SMS Enterprise,2,1273.65
5053,519,2024-01-05,SMS Enterprise,2,2760.4
5054,524,2024-04-19,SMS Enterprise,2,4679.58
5055,520,2024-12-17,SMS Pro,2,1346.75
5056,504,2024-03-12,SMS Basic,5,9800.09
5057,512,2024-08-07,SMS Pro,2,1991.15
5058,521,2024-02-13,SMS Basic,5,8509.99
5059,524,2024-11-07,SMS Pro,1,2195.78
5060,522,2024-06-03,SMS Basic,5,8569.27
5061,507,2025-01-17,SMS Pro,3,5377.02
5062,526,2024-05-02,SMS Pro,4,2901.95
5063,516,2024-11-22,SMS Enterprise,1,1556.57
5064,501,2024-07-03,SMS Pro,2,2547.35
5065,527,2024-10-18,SMS Pro,3,4778.14
5066,506,2025-01-25,SMS Pro,1,533.38
5067,503,2024-01-08,SMS Pro,2,1159.31
5068,502,2024-07-22,SMS Enterprise,3,5271.42
5069,517,2025-01-27,SMS Pro,4,7614.49
5070,503,2024-11-23,SMS Enterprise,5,8660.47
5071,509,2024-02-12,SMS Pro,1,1522.61
5072,507,2024-03-20,SMS Enterprise,3,3844.39
