order_id,customer_id,order_date,product,quantity,amount
1,2,2024-06-04,SMS Pro,1,694.38
2,29,2024-10-02,SMS Basic,4,5629.15
3,22,2025-01-15,SMS Enterprise,5,6691.27
4,24,2025-01-07,SMS Basic,4,7239.38
5,27,2024-09-07,SMS Enterprise,4,9512.42
6,9,2024-01-17,SMS Enterprise,3,2803.62
7,15,2024-04-30,SMS Pro,1,2461.86
8,12,2024-10-05,SMS Enterprise,3,1863.3
9,9,2024-04-07,SMS Basic,4,2733.39
10,7,2024-11-24,SMS Enterprise,5,12210.93
11,2,2024-06-19,SMS Basic,2,4147.91
12,7,2024-02-05,SMS Enterprise,2,3345.53
13,27,2024-04-29,SMS Pro,2,4154.58
14,20,2024-01-02,SMS Pro,2,4950.11
15,18,2024-05-08,SMS Basic,1,1822.12
16,1,2024-03-08,SMS Basic,3,6239.91
17,8,2024-10-28,SMS Pro,1,848.49
18,2,2024-03-05,SMS Enterprise,4,6208.68
19,24,2024-02-02,SMS Pro,4,8224.14
20,17,2024-10-30,SMS Basic,4,6030.71
21,20,2024-01-23,SMS Enterprise,5,5516.3
22,21,2024-01-16,SMS Basic,4,8778.39
23,14,2024-12-17,SMS Basic,4,7699.21
24,15,2024-02-07,SMS Basic,3,5149.78
25,3,2024-03-05,SMS Pro,5,8830.77
26,18,2024-12-30,SMS Pro,4,9957.02
27,17,2024-05-30,SMS Pro,5,8554.27
28,4,2024-12-25,SMS Basic,5,9708.4
29,7,2024-08-08,SMS Pro,2,2655.25
30,27,2024-08-20,SMS Pro,4,7836.9
31,11,2024-08-06,SMS Pro,3,3745.81
32,5,2024-12-17,SMS Pro,1,682.45
33,3,2024-02-17,SMS Pro,1,1989.18
34,12,2024-03-07,SMS Enterprise,1,1672.93
35,18,2024-10-14,SMS Pro,1,1321.62
36,28,2024-12-06,SMS Pro,1,2436.8
37,20,2024-06-08,SMS Pro,1,1655.84
38,7,2024-03-20,SMS Enterprise,4,3793.96
39,4,2024-06-28,SMS Enterprise,3,2189.31
40,9,2024-10-20,SMS Basic,4,8761.24
41,25,2024-11-14,SMS Enterprise,5,2762.54
42,30,2024-12-02,SMS Enterprise,3,1673.72
43,9,2024-12-25,SMS Pro,3,3606.14
44,6,2024-03-14,SMS Enterprise,4,2556.68
45,24,2024-11-20,SMS Basic,1,1992.22
46,7,2024-07-11,SMS Pro,4,4727.17
47,12,2024-06-08,SMS Enterprise,3,6161.01
48,19,2024-11-01,SMS Basic,1,811.16
49,25,2024-11-12,SMS Basic,1,1044.21
50,22,2024-08-05,SMS Pro,5,6920.44
51,9,2024-04-20,SMS Enterprise,1,1190.35
52,4,2024-05-25,SMS Enterprise,5,7366.33
53,22,2024-06-06,SMS Basic,2,2581.05
54,20,2024-01-29,SMS Basic,2,2205.68
55,7,2025-01-27,SMS Basic,3,3236.68
