order_id,customer_id,order_date,product,quantity,amount
13001,1304,2024-12-28,SMS Basic,1,2212.88
13002,1305,2024-07-11,SMS Enterprise,5,10532.0
13003,1306,2024-02-26,SMS Enterprise,2,2013.34
13004,1315,2024-12-04,SMS Basic,4,9381.56
13005,1309,2025-01-28,SMS Pro,3,3044.02
13006,1325,2024-02-07,SMS Pro,1,1265.6
13007,1311,2024-01-31,SMS Pro,3,2567.58
13008,1303,2024-09-08,SMS Basic,5,6426.34
13009,1321,2024-09-08,SMS Basic,2,3162.53
13010,1314,2024-04-21,SMS Enterprise,1,2325.22
13011,1323,2024-05-12,SMS Basic,1,645.84
13012,1319,2025-01-07,SMS Pro,4,2150.12
13013,1316,2024-03-17,SMS Enterprise,1,2365.79
13014,1322,2024-07-18,SMS Pro,2,3800.22
13015,1329,2024-07-19,SMS Enterprise,1,1530.77
13016,1325,2024-09-08,SMS Pro,4,5231.3
13017,1324,2025-02-03,SMS Basic,5,4758.47
13018,1313,2024-12-18,SMS Pro,1,1634.49
13019,1330,2024-07-02,SMS Pro,3,3903.69
13020,1321,2024-11-27,SMS Basic,3,4707.76
13021,1311,2024-02-11,SMS Pro,3,5386.76
13022,1306,2024-10-10,SMS Basic,4,7285.87
13023,1310,2024-12-22,SMS Pro,1,1761.23
13024,1312,2024-09-06,SMS Basic,4,7882.59
13025,1305,2024-01-19,SMS Basic,1,1939.48
13026,1319,2024-05-02,SMS Pro,4,2503.94
13027,1318,2024-11-25,SMS Pro,4,6271.52
13028,1327,2024-08-18,SMS Basic,1,1178.57
13029,1311,2025-01-04,SMS Basic,4,2945.5
13030,1326,2024-11-30,SMS Enterprise,5,7083.7
13031,1322,2024-10-01,SMS Basic,5,4829.86
13032,1303,2024-01-19,SMS Enterprise,2,2955.58
13033,1301,2024-08-29,SMS Enterprise,1,985.37
13034,1321,2024-03-07,SMS Basic,2,3530.65
13035,1329,2024-06-06,SMS Basic,4,6889.81
13036,1327,2024-10-29,SMS Basic,1,728.36
13037,1320,2024-11-11,SMS Basic,1,2108.91
13038,1314,2024-06-21,SMS Enterprise,4,4593.88
13039,1322,2024-10-21,SMS Enterprise,2,2286.36
13040,1326,2024-04-19,SMS Basic,5,4234.48
13041,1303,2024-03-02,SMS Pro,2,4030.2
13042,1306,2024-12-22,SMS Pro,5,4150.06
13043,1308,2024-10-24,SMS Basic,2,1399.87
13044,1328,2024-11-19,SMS Enterprise,4,8221.29
13045,1301,2024-09-06,SMS Basic,1,514.45
13046,1330,2024-02-15,SMS Enterprise,5,11369.15
13047,1314,2024-12-21,SMS Pro,2,1824.64
13048,1321,2024-05-18,SMS Enterprise,4,5296.25
13049,1306,2024-11-08,SMS Enterprise,1,1692.54
13050,1323,2024-09-12,SMS Enterprise,1,1754.38
13051,1326,2024-06-03,SMS Pro,4,2036.56
13052,1308,2024-04-08,SMS Basic,5,12267.91
13053,1320,2024-07-04,SMS Enterprise,5,4692.76
13054,1325,2024-11-16,SMS Enterprise,2,2105.71
13055,1307,2024-02-27,SMS Basic,4,5980.12
13056,1306,2024-12-09,SMS Basic,1,1789.72
13057,1310,2024-04-17,SMS Pro,3,3505.77
13058,1326,2025-01-23,SMS Pro,1,708.84
